akpop,akrank,alpop,alrank,arpop,arrank,azpop,azrank,capop,carank,copop,corank,ctpop,ctrank,depop,derank,flpop,flrank,gapop,garank,hipop,hirank,iapop,iarank,idpop,idrank,ilpop,ilrank,inpop,inrank,kspop,ksrank,kyrank,kypop,lapop,larank,marank,mapop,mdpop,mdrank,mepop,merank,mirank,mipop,mnrank,mnpop,mopop,morank,mspop,msrank,mtrank,mtpop,ncpop,ncrank,ndpop,ndrank,nepop,nerank,nhrank,nhpop,njpop,njrank,nmrank,nmpop,nvrank,nvpop,nyrank,nypop,ohpop,ohrank,okpop,okrank,orpop,orrank,papop,parank,rirank,ripop,scpop,scrank,sdpop,sdrank,tnpop,tnrank,txpop,txrank,utpop,utrank,vapop,varank,vtpop,vtrank,wapop,warank,wipop,wirank,wvpop,wvrank,wyrank,wypop
12.584,0,12.26545885,0,12.17315681,0,14.18405715,0,15.14856789,0,13.36022213,0,11.87915759,0,11.17472173,0,13.62109537,0,13.00307296,0,12.72859756,0,12.22309199,0,12.23403308,0,14.80713063,0,13.63500974,0,12.86249619,0,0,13.30023672,12.74789972,0,0,13.33358656,13.33665668,0,11.10289495,0,0,13.47832587,0,12.8812595,13.04830771,0,12.07503528,0,0,11.58015411,13.56087892,0,11.60622453,0,12.95174112,0,0,11.60427326,12.53227807,0,0,13.22747446,0,13.28671952,0,15.9251066,13.57602546,0,13.30334904,0,13.28081053,0,14.23816442,0,0,12.08977476,11.77982558,0,11.98235393,0,13.38488148,0,14.57871817,0,12.13586475,0,13.01036085,0,10.6553045,0,13.36064773,0,13.29603597,0,10.84739345,0,0,11.00369856
10.359,0.7,12.23448516,0.6931471806,11.36452986,0.6931471806,13.16180714,0.6931471806,14.0791179,0.6931471806,12.97579653,0.6931471806,11.77358828,0.6931471806,10.50671003,0.6931471806,12.92041364,0.6931471806,12.198106,0.6931471806,10.8180568,0.6931471806,11.74662115,0.6931471806,11.30905744,0.6931471806,12.19551208,0.6931471806,12.4472722,0.6931471806,12.09468847,0.6931471806,0.6931471806,12.59744897,12.34362781,0.6931471806,0.6931471806,12.1065009,11.09996735,0.6931471806,10.50482093,0.6931471806,0.6931471806,12.14440999,0.6931471806,12.58028786,12.6703474,0.6931471806,11.15786351,0.6931471806,0.6931471806,11.13304038,12.95555054,0.6931471806,11.07830442,0.6931471806,12.48900847,0.6931471806,0.6931471806,11.36783033,12.4195577,0.6931471806,0.6931471806,11.52334103,0.6931471806,12.46869841,0.6931471806,12.47237147,12.89122546,0.6931471806,12.88407319,0.6931471806,11.96406478,0.6931471806,12.63037259,0.6931471806,0.6931471806,11.32263625,11.71740798,0.6931471806,11.15416263,0.6931471806,13.25320215,0.6931471806,14.1228173,0.6931471806,11.77128171,0.6931471806,12.41220024,0.6931471806,9.832313733,0.6931471806,12.25259834,0.6931471806,12.35969033,0.6931471806,10.80238795,0.6931471806,0.6931471806,10.93289266
10.351,1.1,12.18132391,1.098612289,11.25024815,1.098612289,12.99234808,1.098612289,13.75993654,1.098612289,12.73384388,1.098612289,11.73426739,1.098612289,10.36148186,1.098612289,12.72399999,1.098612289,12.19537564,1.098612289,10.77264475,1.098612289,11.50977049,1.098612289,11.22646931,1.098612289,11.93734971,1.098612289,11.69720344,1.098612289,11.90000934,1.098612289,1.098612289,10.9693528,12.2026217,1.098612289,1.098612289,11.93858528,11.0402623,1.098612289,10.40459612,1.098612289,1.098612289,11.8060129,1.098612289,11.59902976,11.99652993,1.098612289,10.81639256,1.098612289,1.098612289,10.98347752,12.53206155,1.098612289,10.88661416,1.098612289,10.87054744,1.098612289,1.098612289,10.6618371,11.89272399,1.098612289,1.098612289,11.41661278,1.098612289,12.33495387,1.098612289,12.25892597,12.60129548,1.098612289,11.65756246,1.098612289,11.95575058,1.098612289,11.67871105,1.098612289,1.098612289,11.29460775,11.51019173,1.098612289,10.19582129,1.098612289,12.06617819,1.098612289,14.01700464,1.098612289,11.63060183,1.098612289,12.33892818,1.098612289,9.792779431,1.098612289,12.21607248,1.098612289,11.5526941,1.098612289,10.35748882,1.098612289,1.098612289,10.35175669
9.877,1.4,12.10129529,1.386294361,11.15334631,1.386294361,12.37210813,1.386294361,13.59888944,1.386294361,11.90909416,1.386294361,11.71703298,1.386294361,9.851931066,1.386294361,12.40827036,1.386294361,11.86373725,1.386294361,10.67505305,1.386294361,11.32278139,1.386294361,10.94752045,1.386294361,11.90112911,1.386294361,11.52089363,1.386294361,11.77563582,1.386294361,1.386294361,10.9554449,11.83848841,1.386294361,1.386294361,11.57607865,11.01936658,1.386294361,10.12934741,1.386294361,1.386294361,11.77297166,1.386294361,11.36455306,11.67223425,1.386294361,10.76149218,1.386294361,1.386294361,10.56346567,12.38571562,1.386294361,10.68615546,1.386294361,10.81955826,1.386294361,1.386294361,10.40756043,11.73582099,1.386294361,1.386294361,11.14481394,1.386294361,12.31567565,1.386294361,12.19298234,12.56796197,1.386294361,11.53291435,1.386294361,11.56925854,1.386294361,11.53062785,1.386294361,1.386294361,11.17251749,11.14702236,1.386294361,10.02530688,1.386294361,11.95474822,1.386294361,13.61780446,1.386294361,11.54937311,1.386294361,12.25633316,1.386294361,9.740144754,1.386294361,12.01666001,1.386294361,11.50507473,1.386294361,10.29755462,1.386294361,1.386294361,10.28837573
9.611,1.6,11.44418613,1.609437912,11.11636559,1.609437912,12.33147547,1.609437912,13.11163604,1.609437912,11.88804133,1.609437912,11.61155739,1.609437912,9.22818029,1.609437912,12.38437363,1.609437912,11.68687037,1.609437912,10.56191388,1.609437912,11.13321582,1.609437912,10.90145043,1.609437912,11.86254659,1.609437912,11.33338005,1.609437912,11.75930887,1.609437912,1.609437912,10.61250808,11.70042526,1.609437912,1.609437912,11.5632573,10.91929777,1.609437912,10.04259711,1.609437912,1.609437912,11.6465556,1.609437912,11.36248622,11.63713227,1.609437912,10.70499574,1.609437912,1.609437912,10.42614293,12.36456674,1.609437912,10.22114096,1.609437912,10.36690705,1.609437912,1.609437912,10.30851923,11.51259541,1.609437912,1.609437912,10.78884474,1.609437912,12.29691833,1.609437912,11.88552986,12.20161271,1.609437912,11.49655215,1.609437912,11.43334099,1.609437912,11.38602348,1.609437912,1.609437912,10.75868981,11.11874148,1.609437912,9.989802854,1.609437912,11.54689201,1.609437912,13.53941181,1.609437912,11.38881244,1.609437912,12.10473735,1.609437912,9.710812584,1.609437912,11.74751526,1.609437912,11.27542941,1.609437912,10.25716802,1.609437912,1.609437912,10.05315678
9.47,1.8,11.30981736,1.791759469,11.03978091,1.791759469,12.28942525,1.791759469,13.05298758,1.791759469,11.72916524,1.791759469,11.35747561,1.791759469,9.180808569,1.791759469,12.32590247,1.791759469,11.50709852,1.791759469,10.55100956,1.791759469,11.12523151,1.791759469,10.74153562,1.791759469,11.66349832,1.791759469,11.3140232,1.791759469,11.40212797,1.791759469,1.791759469,10.36018429,11.18432417,1.791759469,1.791759469,11.46238978,10.59388094,1.791759469,9.970491781,1.791759469,1.791759469,11.64337461,1.791759469,11.26127955,11.43461792,1.791759469,10.6249306,1.791759469,1.791759469,10.28854585,12.21653275,1.791759469,9.888221619,1.791759469,10.17225435,1.791759469,1.791759469,10.30065164,11.50876683,1.791759469,1.791759469,10.73321771,1.791759469,12.15146861,1.791759469,11.48924734,11.86024579,1.791759469,11.34905268,1.791759469,11.41679995,1.791759469,11.23965899,1.791759469,1.791759469,10.62585367,11.00839664,1.791759469,9.647562512,1.791759469,11.13919156,1.791759469,13.40839609,1.791759469,11.37894826,1.791759469,11.89337357,1.791759469,9.663769907,1.791759469,11.7199315,1.791759469,11.19303696,1.791759469,9.890706218,1.791759469,1.791759469,9.770927117
9.092,1.9,11.08974435,1.945910149,10.98374916,1.945910149,12.24746888,1.945910149,13.04387629,1.945910149,11.60591477,1.945910149,11.30088257,1.945910149,8.858795106,1.945910149,12.1083275,1.945910149,11.44776809,1.945910149,10.45152225,1.945910149,11.03859248,1.945910149,10.69505371,1.945910149,11.65274828,1.945910149,11.31243586,1.945910149,11.0607146,1.945910149,1.945910149,10.35341602,11.10799022,1.945910149,1.945910149,11.44902674,10.56823526,1.945910149,9.947934967,1.945910149,1.945910149,11.53697397,1.945910149,11.19722793,11.3142184,1.945910149,10.47700625,1.945910149,1.945910149,9.927545818,11.88925695,1.945910149,9.851035693,1.945910149,10.12894842,1.945910149,1.945910149,10.26729699,11.43866517,1.945910149,1.945910149,10.62074181,1.945910149,12.09175547,1.945910149,11.25940002,11.3095968,1.945910149,10.96491705,1.945910149,11.2505862,1.945910149,11.22500336,1.945910149,1.945910149,10.46350326,10.70958388,1.945910149,9.58452119,1.945910149,10.99613207,1.945910149,12.83120326,1.945910149,11.32448523,1.945910149,11.82653841,1.945910149,9.393078509,1.945910149,11.55842451,1.945910149,11.16645542,1.945910149,9.836492684,1.945910149,1.945910149,9.443196602
9.032,2.1,10.92743017,2.079441542,10.93246391,2.079441542,11.99361554,2.079441542,12.87575671,2.079441542,11.60065242,2.079441542,11.17400624,2.079441542,8.783242964,2.079441542,12.01997798,2.079441542,11.42118291,2.079441542,10.22662122,2.079441542,10.98469933,2.079441542,10.69478179,2.079441542,11.59162573,2.079441542,11.28584919,2.079441542,10.93433835,2.079441542,2.079441542,10.30731799,11.02377979,2.079441542,2.079441542,11.43248518,10.32833036,2.079441542,9.85760067,2.079441542,2.079441542,11.49428276,2.079441542,11.09719788,11.25384381,2.079441542,10.44581184,2.079441542,2.079441542,9.171599544,11.6075263,2.079441542,9.827254247,2.079441542,10.11017647,2.079441542,2.079441542,10.14619841,11.42123772,2.079441542,2.079441542,10.57635549,2.079441542,11.59433032,2.079441542,11.12402245,11.19831061,2.079441542,10.93453452,2.079441542,11.22764052,2.079441542,10.99073551,2.079441542,2.079441542,10.41947981,10.60969902,2.079441542,9.540650806,2.079441542,10.92357959,2.079441542,12.63770245,2.079441542,11.19680276,2.079441542,11.48728966,2.079441542,9.246382963,2.079441542,11.46633688,2.079441542,11.09866681,2.079441542,9.776449319,2.079441542,2.079441542,9.415890055
9.012,2.2,10.88519142,2.197224577,10.83303009,2.197224577,11.94512987,2.197224577,12.75847102,2.197224577,11.58777316,2.197224577,11.02439935,2.197224577,8.727778213,2.197224577,12.0146276,2.197224577,11.31819929,2.197224577,10.17873007,2.197224577,10.96192,2.197224577,10.37017318,2.197224577,11.39726767,2.197224577,11.27935272,2.197224577,10.80766522,2.197224577,2.197224577,10.27842472,10.79579292,2.197224577,2.197224577,11.41121384,10.32495723,2.197224577,9.829894832,2.197224577,2.197224577,11.48186814,2.197224577,11.07989387,11.10440068,2.197224577,10.33120327,2.197224577,2.197224577,9.129889248,11.57670745,2.197224577,9.637110247,2.197224577,10.09954764,2.197224577,2.197224577,10.10508055,11.39035097,2.197224577,2.197224577,10.46330332,2.197224577,11.42075535,2.197224577,11.10153785,11.11217921,2.197224577,10.81685401,2.197224577,10.99700354,2.197224577,10.81029345,2.197224577,2.197224577,10.37592572,10.53675202,2.197224577,9.462421173,2.197224577,10.71230443,2.197224577,12.50534726,2.197224577,11.11707895,2.197224577,11.47698736,2.197224577,9.156834104,2.197224577,11.4414402,2.197224577,11.09563572,2.197224577,9.754233199,2.197224577,2.197224577,9.293485953
8.993,2.3,10.66751249,2.302585093,10.47166657,2.302585093,11.67433828,2.302585093,12.72565482,2.302585093,11.54967197,2.302585093,10.99629972,2.302585093,8.579228582,2.302585093,11.95280488,2.302585093,11.2571425,2.302585093,10.02967958,2.302585093,10.94392326,2.302585093,10.22462858,2.302585093,11.33727362,2.302585093,11.15749261,2.302585093,10.77989335,2.302585093,2.302585093,10.25874649,10.77316874,2.302585093,2.302585093,11.39478361,10.14037621,2.302585093,9.772239266,2.302585093,2.302585093,11.48036095,2.302585093,11.07435849,10.89818273,2.302585093,10.16838706,2.302585093,2.302585093,9.055906319,11.37644115,2.302585093,8.961879013,2.302585093,10.02167051,2.302585093,2.302585093,10.09116972,11.34938248,2.302585093,2.302585093,10.35774282,2.302585093,10.95678862,2.302585093,11.03666229,11.06815284,2.302585093,10.74849708,2.302585093,10.90632289,2.302585093,10.74332911,2.302585093,2.302585093,10.33002899,10.52765972,2.302585093,9.288319413,2.302585093,10.6416559,2.302585093,12.39642437,2.302585093,10.97937695,2.302585093,11.35253368,2.302585093,9.113609183,2.302585093,11.42881533,2.302585093,11.05997559,2.302585093,9.715831794,2.302585093,2.302585093,9.180911561
